NFIREID,Unchanged to very low,Low,Moderate,High,Post-fire havest,NoData
540,2033.19,973.8,8655.57,5273.19,1619.91,0
541,8512.38,1842.66,19709.19,19755.63,6031.17,0.18
542,282.06,854.73,3737.16,452.25,0,0.09
543,310.95,654.39,3550.59,486.36,0,0
544,271.53,937.71,74.25,4158.36,0,0.09
545,4340.61,26157.33,21736.44,31369.86,0,0.09
546,1339.56,8539.29,3582.27,12859.74,0,58.23
547,469.98,697.14,2877.12,126.9,0,0.27
548,92.7,205.83,985.77,111.06,0,0
549,438.57,315.18,2371.68,3613.95,724.59,0
550,515.34,1068.93,256.77,7697.25,0,3180.33
551,116.1,190.89,543.06,20.97,0,227.97
552,1758.96,474.39,4679.55,975.24,447.93,0.09
553,309.33,2558.97,929.25,2355.66,0,1531.8
554,376.92,1049.31,5214.87,568.44,0,823.23
555,115.38,191.7,297,1512.99,0,14.4
556,25.38,60.21,22.86,263.34,0,14.94
557,1604.97,1301.94,5710.59,6351.75,2326.32,0.18
558,170.28,443.88,743.13,2894.49,0,7404.84
559,281.79,337.41,512.37,3797.37,0,0.36
560,88.56,123.84,432.63,701.19,0,0.09
561,3076.47,24074.46,11245.95,35808.48,0,199.8
562,1430.19,1016.01,3429.54,5397.93,0,268.2
563,272.16,186.21,638.19,842.94,0,0.18
564,6327.54,6059.25,11422.71,31223.97,0,0.27
565,1149.84,1149.66,3807.9,4895.37,0,0.09
566,1248.12,1022.31,2878.47,11532.96,0,0
