Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
54.3477324996546,-98.4079912834455,"604",2023,110,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/29,2023/07/02,2023/06/29,,2023/07/31,277.939509755,277.939509755,,MB,,,"20240530",2023_110,376.622986,107.462997,"22"
54.5768114339912,-98.0952173067529,"605",2023,418,MAFiMS,Landsat,Processed imagery,Human,,,2023/06/25,,2023/07/25,9.98963625685,9.98963625685,,MB,,,"20240530",2023_418,310.045013,90.627998,"22"
54.6077615405301,-98.0634749994003,"606",2023,1034,Agency,Aerial survey,Direct from GPS,Natural,,,2023/07/23,,2023/08/29,0.38235901492,0.49910033083,true,MB,,,"20240530",2023_1034,,,"22"
53.9597222222756,-97.8300000065802,"607",2023,1098,Agency,Aerial survey,Buffered points,Human,,,2023/06/26,,2023/07/03,0.99558314841,1.25244120314,true,MB,,,"20240530",2023_1098,,,"22"
53.9694949446812,-97.8203540460551,"608",2023,419,MAFiMS,Sentinel-2,Processed imagery,Human,,,2023/06/26,,2023/07/10,1.8266548969,1.8266548969,,MB,,,"20240530",2023_419,,,"22"
54.1016666709016,-97.7611111162132,"609",2023,1084,Agency,Aerial survey,Buffered points,Human,,,2023/05/15,,2023/05/17,1.49335018614,1.84946889597,true,MB,,,"20240530",2023_1084,,,"22"
54.5216362094054,-97.7807884009523,"610",2023,139,MAFiMS,Sentinel-2,Processed imagery,Human,2023/05/15,2023/05/24,2023/05/15,,2023/07/31,2354.02345309,2354.02345309,,MB,,,"20240530",2023_139,149.485992,41.922001,"22"
54.065000002921,-97.7133333263048,"611",2023,1086,Agency,Aerial survey,Buffered points,Human,,,2023/05/19,,2023/05/23,0.99555387587,1.25240579927,true,MB,,,"20240530",2023_1086,,,"22"
54.428888888304,-97.7244444400342,"612",2023,1096,Agency,Aerial survey,Buffered points,Natural,,,2023/06/21,,2023/07/17,0.09955598414,0.13687807597,true,MB,,,"20240530",2023_1096,,,"22"
54.1027777750972,-97.6602777832376,"613",2023,1083,Agency,Aerial survey,Buffered points,Human,,,2023/05/15,,2023/05/17,0.09955396331,0.13687540477,true,MB,,,"20240530",2023_1083,,,"22"
